1989	0.6238	100	19898	0.0106	9.375	25.2	67.0419
2360	0.611	100	42486	0.0051	6	22.9	38.8575
1338	0.4786	100	35178	0.0189	1.4706	29.76	48.2946
2101	0.6394	100	41390	0.0103	7.9545	10.78	34.7009
306	0.7286	100	29684	0.0333	0	12.9	77.7681
471	0.5683	29.59	18130	0.0533	3.7037	28.09	45.2303
473	0.587	30.01	14328	0.0649	0	26.78	32.7496
423	0.6333	30.57	16146	0.0595	0.8065	32.37	28.3372
383	0.3927	28.58	19781	0.0585	0	30.76	44.6014
566	0.7175	32.56	14138	0.0382	0	37.43	31.0842
535	0.7627	41.53	21325	0.0317	4.3165	31.88	38.3312
469	0.6244	41.08	17739	0.044	0.9091	27.44	35.9755
